Town,Nursing home,Licensed beds,Residents with COVID-19,COVID-19 associated deaths among residents (laboratory-confirmed),COVID-19 associated deaths among residents (probable),Location,LAT,LNG,Date
Waterford,Greentree Manor Nursing and Rehabilitation,90.00,10.00,0.00,0.00,"4 Greentree Dr, Waterford, CT 06385, USA",41.39,-72.15,5/27/2020
Waterford,New London Sub-Acute and Nursing,120.00,79.00,8.00,2.00,"31 Vauxhall St, New London, CT 06320, USA",41.36,-72.10,5/27/2020
Watertown,Apple Rehab Watertown,110.00,1.00,2.00,0.00,"35 Bunker Hill Rd, Watertown, CT 06795, USA",41.58,-73.10,5/27/2020
West Hartford,Hebrew Center for Health and Rehabilitation,257.00,41.00,6.00,6.00,"1 Abrahms Blvd, West Hartford, CT 06117, USA",41.80,-72.73,5/27/2020
West Hartford,Hughes Health and Rehabilitation,170.00,44.00,16.00,5.00,"29 Highland St, West Hartford, CT 06119, USA",41.77,-72.72,5/27/2020
West Hartford,Saint Mary Home,256.00,91.00,18.00,13.00,"2021 Albany Ave, West Hartford, CT 06117, USA",41.78,-72.73,5/27/2020
West Hartford,The Reservoir,75.00,25.00,2.00,0.00,"75 Reservoir Rd, Vernon, CT 06066, USA",41.86,-72.43,5/27/2020
West Hartford,West Hartford Health and Rehabilitation Center,160.00,96.00,14.00,7.00,"130 Loomis Dr, West Hartford, CT 06107, USA",41.77,-72.74,5/27/2020
West Haven,Apple Rehab West Haven,90.00,55.00,11.00,2.00,"308 Savin Ave, West Haven, CT 06516, USA",41.26,-72.95,5/27/2020
West Haven,RegalCare at West Haven,98.00,34.00,9.00,1.00,"310 Terrace Ave, West Haven, CT 06516, USA",41.28,-72.97,5/27/2020
Westport,Westport Rehabilitation Complex,99.00,37.00,10.00,4.00,"1 Burr Rd, Westport, CT 06880, USA",41.14,-73.37,5/27/2020
Wilton,Wilton Meadows Health Care Center,148.00,28.00,8.00,18.00,"439 Danbury Rd, Wilton, CT 06897, USA",41.22,-73.43,5/27/2020
Windham,St. Joseph's Living Center,120.00,28.00,8.00,0.00,"14 Club Rd, Windham, CT 06280, USA",41.71,-72.19,5/27/2020
Windsor,Kimberly Hall North,150.00,90.00,18.00,26.00,"1 Emerson Dr, Windsor, CT 06095, USA",41.84,-72.67,5/27/2020
Windsor,Kimberly Hall South,180.00,78.00,12.00,2.00,"South, 1 Emerson Dr, Windsor, CT 06095, USA",41.84,-72.67,5/27/2020
Windsor,Windsor Health and Rehabilitation Center,108.00,48.00,21.00,1.00,"581 Poquonock Ave, Windsor, CT 06095, USA",41.87,-72.66,5/27/2020
Windsor,Locks Bickford Health Care Center,48.00,33.00,12.00,1.00,"14 Main St, Windsor Locks, CT 06096, USA",41.93,-72.63,5/27/2020
Woodbridge,The Willows,90.00,62.00,16.00,2.00,"225 Amity Rd, Woodbridge, CT 06525, USA",41.34,-72.98,5/27/2020
